date,G_Total,L_Total,G_prof,L_prof
2013-03-31,1902,1850,332,378
2013-06-30,1924,1847,371,289
2013-09-30,1934,1838,309,325
2013-12-31,1950,1852,354,311
2014-03-31,1940,1880,327,380
2014-06-30,1978,1872,379,293
2014-09-30,1968,1877,307,329
2014-12-31,2012,1870,361,314
2015-03-31,1975,1946,337,393
2015-06-30,2014,1909,388,301
2015-09-30,2000,1932,314,342
2015-12-31,2069,1934,380,325
2016-03-31,2022,1954,347,396
2016-06-30,1996,2018,386,315
2016-09-30,2051,1967,322,344
2016-12-31,2044,1999,368,331
2017-03-31,2086,1964,356,394
2017-06-30,2038,2024,394,314
2017-09-30,1996,2057,316,360
2017-12-31,2107,1977,384,334
2018-03-31,2105,2017,368,409
2018-06-30,2087,2070,408,324
2018-09-30,2042,2078,332,366
2018-12-31,2128,2014,399,344
2019-03-31,2129,2029,377,417
2019-06-30,2069,2111,414,334
2019-09-30,2062,2070,339,368
2019-12-31,2146,2049,406,352
2020-03-31,2061,2205,369,441
2020-06-30,1638,3214,369,439
2020-09-30,2492,1948,381,380
2020-12-31,2279,1944,445,332
2021-03-31,2306,1940,423,409
2021-06-30,2287,2060,472,349
2021-09-30,2379,2127,419,405
2021-12-31,2518,2027,499,365
2022-03-31,2442,2101,460,469
2022-06-30,2337,2258,503,379
2022-09-30,2383,2175,425,421
2022-12-31,2327,2204,462,407
2023-03-31,2347,2135,424,477
