date,O_Total,O_prof,H_Total,H_prof,L_Total,L_prof
2013-01-01,3923,776,4279,879,2101,500
2013-02-01,4004,757,3737,862,1291,310
2013-03-01,4076,750,4090,870,1413,325
2013-04-01,3988,761,4985,928,1662,436
2013-05-01,4145,788,5233,916,1751,417
2013-06-01,4150,749,5129,956,1714,379
2013-07-01,3885,696,4940,968,1684,292
2013-08-01,4085,809,5260,1011,1985,482
2013-09-01,4128,751,4888,963,2052,453
2013-10-01,4222,819,4797,863,1729,347
2013-11-01,4119,745,4274,949,1581,360
2013-12-01,4121,774,3335,960,1996,450
2014-01-01,4127,713,4418,985,2275,498
2014-02-01,4373,848,3854,992,1364,401
2014-03-01,4388,773,4462,1004,1375,351
2014-04-01,4566,842,5296,1000,1658,483
2014-05-01,4747,857,5424,927,1653,418
2014-06-01,4982,916,5612,1026,1711,382
2014-07-01,4846,908,5398,1055,1734,400
2014-08-01,5349,967,5236,1071,1847,464
2014-09-01,4914,941,5348,1094,1876,428
2014-10-01,5012,956,5451,1079,1892,507
2014-11-01,4843,970,4634,933,1682,380
2014-12-01,5130,1041,3822,1041,2080,504
2015-01-01,5344,1028,4804,1035,2251,476
2015-02-01,5466,1082,4228,1082,1343,364
2015-03-01,5210,1101,4830,1076,1608,407
2015-04-01,5598,1239,5600,1095,1717,504
2015-05-01,5563,1235,5777,1068,1663,430
2015-06-01,5248,1109,5869,1033,1785,372
2015-07-01,6056,1146,5581,1011,1661,377
2015-08-01,5467,1091,5709,1039,1977,363
2015-09-01,5488,1110,5386,1083,2110,490
2015-10-01,5773,1212,5703,1085,1922,418
2015-11-01,5708,1285,4966,1115,1716,446
2015-12-01,5845,1199,4136,1217,2026,563
2016-01-01,6012,1310,4989,1187,2256,586
2016-02-01,5770,1236,4551,1113,1501,401
2016-03-01,6129,1471,5027,1112,1549,447
2016-04-01,5803,1049,5657,1097,1627,466
2016-05-01,5777,1163,5797,1096,1741,416
2016-06-01,5742,1143,6039,1070,1718,403
2016-07-01,5962,1248,5888,1187,1702,429
2016-08-01,5677,1105,5862,1105,2046,419
2016-09-01,5868,1204,5416,1095,1730,352
2016-10-01,5591,985,5611,1057,1709,365
2016-11-01,5971,1227,4918,1116,1710,441
2016-12-01,5964,1081,3988,1105,1951,473
2017-01-01,5617,984,5280,1126,2193,441
2017-02-01,5923,986,4392,1055,1321,356
