date,value
2013-03-31,332
2013-06-30,371
2013-09-30,309
2013-12-31,354
2014-03-31,327
2014-06-30,379
2014-09-30,307
2014-12-31,361
2015-03-31,337
2015-06-30,388
2015-09-30,314
2015-12-31,380
2016-03-31,347
2016-06-30,386
2016-09-30,322
2016-12-31,368
2017-03-31,356
2017-06-30,394
2017-09-30,316
2017-12-31,384
2018-03-31,368
2018-06-30,408
2018-09-30,332
2018-12-31,399
2019-03-31,377
2019-06-30,414
2019-09-30,339
2019-12-31,406
2020-03-31,369
2020-06-30,369
2020-09-30,381
2020-12-31,445
2021-03-31,423
2021-06-30,472
2021-09-30,419
2021-12-31,499
2022-03-31,460
2022-06-30,503
2022-09-30,425
2022-12-31,462
2023-03-31,424
