date,value
2013-03-31,1902
2013-06-30,1924
2013-09-30,1934
2013-12-31,1950
2014-03-31,1940
2014-06-30,1978
2014-09-30,1968
2014-12-31,2012
2015-03-31,1975
2015-06-30,2014
2015-09-30,2000
2015-12-31,2069
2016-03-31,2022
2016-06-30,1996
2016-09-30,2051
2016-12-31,2044
2017-03-31,2086
2017-06-30,2038
2017-09-30,1996
2017-12-31,2107
2018-03-31,2105
2018-06-30,2087
2018-09-30,2042
2018-12-31,2128
2019-03-31,2129
2019-06-30,2069
2019-09-30,2062
2019-12-31,2146
2020-03-31,2061
2020-06-30,1638
2020-09-30,2492
2020-12-31,2279
2021-03-31,2306
2021-06-30,2287
2021-09-30,2379
2021-12-31,2518
2022-03-31,2442
2022-06-30,2337
2022-09-30,2383
2022-12-31,2327
2023-03-31,2347
