date,value
2013-01-01,879
2013-02-01,862
2013-03-01,870
2013-04-01,928
2013-05-01,916
2013-06-01,956
2013-07-01,968
2013-08-01,1011
2013-09-01,963
2013-10-01,863
2013-11-01,949
2013-12-01,960
2014-01-01,985
2014-02-01,992
2014-03-01,1004
2014-04-01,1000
2014-05-01,927
2014-06-01,1026
2014-07-01,1055
2014-08-01,1071
2014-09-01,1094
2014-10-01,1079
2014-11-01,933
2014-12-01,1041
2015-01-01,1035
2015-02-01,1082
2015-03-01,1076
2015-04-01,1095
2015-05-01,1068
2015-06-01,1033
2015-07-01,1011
2015-08-01,1039
2015-09-01,1083
2015-10-01,1085
2015-11-01,1115
2015-12-01,1217
2016-01-01,1187
2016-02-01,1113
2016-03-01,1112
2016-04-01,1097
2016-05-01,1096
2016-06-01,1070
2016-07-01,1187
2016-08-01,1105
2016-09-01,1095
2016-10-01,1057
2016-11-01,1116
2016-12-01,1105
2017-01-01,1126
2017-02-01,1055
2017-03-01,1046
2017-04-01,1015
2017-05-01,1098
2017-06-01,1250
2017-07-01,1181
2017-08-01,1158
2017-09-01,1145
2017-10-01,1175
2017-11-01,1114
2017-12-01,1065
2018-01-01,1087
2018-02-01,1164
2018-03-01,1169
2018-04-01,1128
2018-05-01,1182
2018-06-01,1192
2018-07-01,1124
2018-08-01,1114
2018-09-01,1103
2018-10-01,1189
2018-11-01,1135
2018-12-01,1156
2019-01-01,1067
2019-02-01,1171
2019-03-01,1170
2019-04-01,1261
2019-05-01,1156
2019-06-01,1094
2019-07-01,1161
2019-08-01,1146
2019-09-01,1157
2019-10-01,1115
2019-11-01,1142
2019-12-01,1148
2020-01-01,1171
2020-02-01,1112
2020-03-01,1138
2020-04-01,838
2020-05-01,973
2020-06-01,1166
2020-07-01,1116
2020-08-01,1148
2020-09-01,1156
2020-10-01,1157
2020-11-01,1217
2020-12-01,1187
2021-01-01,1216
2021-02-01,1204
2021-03-01,1189
2021-04-01,1184
2021-05-01,1145
2021-06-01,1225
2021-07-01,1301
2021-08-01,1207
2021-09-01,1324
2021-10-01,1400
2021-11-01,1399
2021-12-01,1332
2022-01-01,1332
2022-02-01,1386
2022-03-01,1365
2022-04-01,1304
2022-05-01,1325
2022-06-01,1265
2022-07-01,1251
2022-08-01,1216
2022-09-01,1191
2022-10-01,1168
2022-11-01,1163
2022-12-01,1155
2023-01-01,1158
2023-02-01,1114
2023-03-01,1169
2023-04-01,1205
2023-05-01,1117
2023-06-01,1113
2023-07-01,1090
2023-08-01,1108
2023-09-01,1095
2023-10-01,1146
2023-11-01,983
