date,value
2013-01-01,4279
2013-02-01,3737
2013-03-01,4090
2013-04-01,4985
2013-05-01,5233
2013-06-01,5129
2013-07-01,4940
2013-08-01,5260
2013-09-01,4888
2013-10-01,4797
2013-11-01,4274
2013-12-01,3335
2014-01-01,4418
2014-02-01,3854
2014-03-01,4462
2014-04-01,5296
2014-05-01,5424
2014-06-01,5612
2014-07-01,5398
2014-08-01,5236
2014-09-01,5348
2014-10-01,5451
2014-11-01,4634
2014-12-01,3822
2015-01-01,4804
2015-02-01,4228
2015-03-01,4830
2015-04-01,5600
2015-05-01,5777
2015-06-01,5869
2015-07-01,5581
2015-08-01,5709
2015-09-01,5386
2015-10-01,5703
2015-11-01,4966
2015-12-01,4136
2016-01-01,4989
2016-02-01,4551
2016-03-01,5027
2016-04-01,5657
2016-05-01,5797
2016-06-01,6039
2016-07-01,5888
2016-08-01,5862
2016-09-01,5416
2016-10-01,5611
2016-11-01,4918
2016-12-01,3988
2017-01-01,5280
2017-02-01,4392
2017-03-01,5043
2017-04-01,5675
2017-05-01,6135
2017-06-01,6452
2017-07-01,5977
2017-08-01,6032
2017-09-01,5542
2017-10-01,5957
2017-11-01,5057
2017-12-01,4043
2018-01-01,5320
2018-02-01,4633
2018-03-01,5255
2018-04-01,5949
2018-05-01,6545
2018-06-01,6596
2018-07-01,6162
2018-08-01,6475
2018-09-01,5717
2018-10-01,6311
2018-11-01,5354
2018-12-01,4303
2019-01-01,5612
2019-02-01,4685
2019-03-01,5317
2019-04-01,6386
2019-05-01,6396
2019-06-01,6574
2019-07-01,6418
2019-08-01,6572
2019-09-01,6072
2019-10-01,6199
2019-11-01,5373
2019-12-01,4424
2020-01-01,5828
2020-02-01,4956
2020-03-01,4718
2020-04-01,4242
2020-05-01,8716
2020-06-01,8389
2020-07-01,6864
2020-08-01,6672
2020-09-01,6039
2020-10-01,6557
2020-11-01,5487
2020-12-01,4120
2021-01-01,5418
2021-02-01,4892
2021-03-01,5618
2021-04-01,6399
2021-05-01,6655
2021-06-01,7469
2021-07-01,7227
2021-08-01,7222
2021-09-01,6676
2021-10-01,7132
2021-11-01,6320
2021-12-01,4978
2022-01-01,6273
2022-02-01,5732
2022-03-01,6079
2022-04-01,6814
2022-05-01,7231
2022-06-01,7448
2022-07-01,7004
2022-08-01,7301
2022-09-01,6290
2022-10-01,6599
2022-11-01,5789
2022-12-01,4641
2023-01-01,6152
2023-02-01,5054
2023-03-01,5507
2023-04-01,6277
2023-05-01,6862
2023-06-01,6848
2023-07-01,6305
2023-08-01,6621
2023-09-01,5932
2023-10-01,6235
2023-11-01,4947
