date,value
2013-01-01,776
2013-02-01,757
2013-03-01,750
2013-04-01,761
2013-05-01,788
2013-06-01,749
2013-07-01,696
2013-08-01,809
2013-09-01,751
2013-10-01,819
2013-11-01,745
2013-12-01,774
2014-01-01,713
2014-02-01,848
2014-03-01,773
2014-04-01,842
2014-05-01,857
2014-06-01,916
2014-07-01,908
2014-08-01,967
2014-09-01,941
2014-10-01,956
2014-11-01,970
2014-12-01,1041
2015-01-01,1028
2015-02-01,1082
2015-03-01,1101
2015-04-01,1239
2015-05-01,1235
2015-06-01,1109
2015-07-01,1146
2015-08-01,1091
2015-09-01,1110
2015-10-01,1212
2015-11-01,1285
2015-12-01,1199
2016-01-01,1310
2016-02-01,1236
2016-03-01,1471
2016-04-01,1049
2016-05-01,1163
2016-06-01,1143
2016-07-01,1248
2016-08-01,1105
2016-09-01,1204
2016-10-01,985
2016-11-01,1227
2016-12-01,1081
2017-01-01,984
2017-02-01,986
2017-03-01,1009
2017-04-01,1047
2017-05-01,1010
2017-06-01,1237
2017-07-01,1131
2017-08-01,1110
2017-09-01,1113
2017-10-01,1323
2017-11-01,1034
2017-12-01,971
2018-01-01,1118
2018-02-01,1108
2018-03-01,1185
2018-04-01,1196
2018-05-01,1239
2018-06-01,1268
2018-07-01,1253
2018-08-01,1331
2018-09-01,1342
2018-10-01,1344
2018-11-01,1343
2018-12-01,1351
2019-01-01,1389
2019-02-01,1378
2019-03-01,1333
2019-04-01,1171
2019-05-01,1290
2019-06-01,1284
2019-07-01,1270
2019-08-01,1284
2019-09-01,1243
2019-10-01,1196
2019-11-01,1198
2019-12-01,1231
2020-01-01,1294
2020-02-01,1284
2020-03-01,1080
2020-04-01,843
2020-05-01,967
2020-06-01,1047
2020-07-01,1135
2020-08-01,1149
2020-09-01,1239
2020-10-01,1285
2020-11-01,1362
2020-12-01,1506
2021-01-01,1429
2021-02-01,1472
2021-03-01,1522
2021-04-01,1710
2021-05-01,1829
2021-06-01,1860
2021-07-01,2087
2021-08-01,2111
2021-09-01,1929
2021-10-01,2229
2021-11-01,2059
2021-12-01,2169
2022-01-01,2213
2022-02-01,2255
2022-03-01,2349
2022-04-01,2309
2022-05-01,2128
2022-06-01,2166
2022-07-01,2086
2022-08-01,1877
2022-09-01,2155
2022-10-01,1890
2022-11-01,2121
2022-12-01,2087
2023-01-01,2101
2023-02-01,1852
2023-03-01,1805
2023-04-01,1718
2023-05-01,1695
2023-06-01,1534
2023-07-01,1432
2023-08-01,1737
2023-09-01,1658
2023-10-01,1642
2023-11-01,1609
