date,value
2013-01-01,3923
2013-02-01,4004
2013-03-01,4076
2013-04-01,3988
2013-05-01,4145
2013-06-01,4150
2013-07-01,3885
2013-08-01,4085
2013-09-01,4128
2013-10-01,4222
2013-11-01,4119
2013-12-01,4121
2014-01-01,4127
2014-02-01,4373
2014-03-01,4388
2014-04-01,4566
2014-05-01,4747
2014-06-01,4982
2014-07-01,4846
2014-08-01,5349
2014-09-01,4914
2014-10-01,5012
2014-11-01,4843
2014-12-01,5130
2015-01-01,5344
2015-02-01,5466
2015-03-01,5210
2015-04-01,5598
2015-05-01,5563
2015-06-01,5248
2015-07-01,6056
2015-08-01,5467
2015-09-01,5488
2015-10-01,5773
2015-11-01,5708
2015-12-01,5845
2016-01-01,6012
2016-02-01,5770
2016-03-01,6129
2016-04-01,5803
2016-05-01,5777
2016-06-01,5742
2016-07-01,5962
2016-08-01,5677
2016-09-01,5868
2016-10-01,5591
2016-11-01,5971
2016-12-01,5964
2017-01-01,5617
2017-02-01,5923
2017-03-01,5811
2017-04-01,6091
2017-05-01,5826
2017-06-01,6305
2017-07-01,6238
2017-08-01,6276
2017-09-01,6320
2017-10-01,6408
2017-11-01,6271
2017-12-01,6336
2018-01-01,6621
2018-02-01,6552
2018-03-01,6818
2018-04-01,6877
2018-05-01,7016
2018-06-01,7230
2018-07-01,7190
2018-08-01,7208
2018-09-01,7411
2018-10-01,7304
2018-11-01,7594
2018-12-01,7489
2019-01-01,7517
2019-02-01,7072
2019-03-01,7337
2019-04-01,7191
2019-05-01,7311
2019-06-01,7139
2019-07-01,7051
2019-08-01,7172
2019-09-01,7160
2019-10-01,7325
2019-11-01,6919
2019-12-01,6709
2020-01-01,7184
2020-02-01,6995
2020-03-01,5794
2020-04-01,4686
2020-05-01,5581
2020-06-01,6119
2020-07-01,6514
2020-08-01,6360
2020-09-01,6512
2020-10-01,6820
2020-11-01,6875
2020-12-01,6854
2021-01-01,7175
2021-02-01,7760
2021-03-01,8399
2021-04-01,9288
2021-05-01,9840
2021-06-01,10069
2021-07-01,10882
2021-08-01,10960
2021-09-01,10882
2021-10-01,11368
2021-11-01,11232
2021-12-01,11826
2022-01-01,11487
2022-02-01,11601
2022-03-01,12027
2022-04-01,11755
2022-05-01,11443
2022-06-01,10961
2022-07-01,11380
2022-08-01,10198
2022-09-01,10854
2022-10-01,10471
2022-11-01,10746
2022-12-01,11234
2023-01-01,10563
2023-02-01,9974
2023-03-01,9745
2023-04-01,10320
2023-05-01,9616
2023-06-01,9165
2023-07-01,8920
2023-08-01,9497
2023-09-01,9350
2023-10-01,8852
2023-11-01,8790
