date,value
2013-01-01,500
2013-02-01,310
2013-03-01,325
2013-04-01,436
2013-05-01,417
2013-06-01,379
2013-07-01,292
2013-08-01,482
2013-09-01,453
2013-10-01,347
2013-11-01,360
2013-12-01,450
2014-01-01,498
2014-02-01,401
2014-03-01,351
2014-04-01,483
2014-05-01,418
2014-06-01,382
2014-07-01,400
2014-08-01,464
2014-09-01,428
2014-10-01,507
2014-11-01,380
2014-12-01,504
2015-01-01,476
2015-02-01,364
2015-03-01,407
2015-04-01,504
2015-05-01,430
2015-06-01,372
2015-07-01,377
2015-08-01,363
2015-09-01,490
2015-10-01,418
2015-11-01,446
2015-12-01,563
2016-01-01,586
2016-02-01,401
2016-03-01,447
2016-04-01,466
2016-05-01,416
2016-06-01,403
2016-07-01,429
2016-08-01,419
2016-09-01,352
2016-10-01,365
2016-11-01,441
2016-12-01,473
2017-01-01,441
2017-02-01,356
2017-03-01,335
2017-04-01,388
2017-05-01,452
2017-06-01,498
2017-07-01,441
2017-08-01,376
2017-09-01,436
2017-10-01,387
2017-11-01,332
2017-12-01,451
2018-01-01,466
2018-02-01,387
2018-03-01,389
2018-04-01,359
2018-05-01,441
2018-06-01,415
2018-07-01,371
2018-08-01,390
2018-09-01,387
2018-10-01,400
2018-11-01,433
2018-12-01,561
2019-01-01,417
2019-02-01,364
2019-03-01,363
2019-04-01,498
2019-05-01,456
2019-06-01,357
2019-07-01,374
2019-08-01,386
2019-09-01,440
2019-10-01,381
2019-11-01,430
2019-12-01,582
2020-01-01,458
2020-02-01,368
2020-03-01,1232
2020-04-01,1206
2020-05-01,480
2020-06-01,416
2020-07-01,392
2020-08-01,353
2020-09-01,323
2020-10-01,323
2020-11-01,451
2020-12-01,478
2021-01-01,416
2021-02-01,424
2021-03-01,359
2021-04-01,340
2021-05-01,319
2021-06-01,278
2021-07-01,392
2021-08-01,269
2021-09-01,380
2021-10-01,287
2021-11-01,338
2021-12-01,455
2022-01-01,352
2022-02-01,423
2022-03-01,368
2022-04-01,320
2022-05-01,422
2022-06-01,367
2022-07-01,317
2022-08-01,381
2022-09-01,296
2022-10-01,320
2022-11-01,368
2022-12-01,417
2023-01-01,585
2023-02-01,414
2023-03-01,412
2023-04-01,401
2023-05-01,319
2023-06-01,408
2023-07-01,393
2023-08-01,412
2023-09-01,363
2023-10-01,363
2023-11-01,335
