date,value
2013-01-01,2101
2013-02-01,1291
2013-03-01,1413
2013-04-01,1662
2013-05-01,1751
2013-06-01,1714
2013-07-01,1684
2013-08-01,1985
2013-09-01,2052
2013-10-01,1729
2013-11-01,1581
2013-12-01,1996
2014-01-01,2275
2014-02-01,1364
2014-03-01,1375
2014-04-01,1658
2014-05-01,1653
2014-06-01,1711
2014-07-01,1734
2014-08-01,1847
2014-09-01,1876
2014-10-01,1892
2014-11-01,1682
2014-12-01,2080
2015-01-01,2251
2015-02-01,1343
2015-03-01,1608
2015-04-01,1717
2015-05-01,1663
2015-06-01,1785
2015-07-01,1661
2015-08-01,1977
2015-09-01,2110
2015-10-01,1922
2015-11-01,1716
2015-12-01,2026
2016-01-01,2256
2016-02-01,1501
2016-03-01,1549
2016-04-01,1627
2016-05-01,1741
2016-06-01,1718
2016-07-01,1702
2016-08-01,2046
2016-09-01,1730
2016-10-01,1709
2016-11-01,1710
2016-12-01,1951
2017-01-01,2193
2017-02-01,1321
2017-03-01,1454
2017-04-01,1551
2017-05-01,1698
2017-06-01,1905
2017-07-01,1809
2017-08-01,2104
2017-09-01,2003
2017-10-01,1917
2017-11-01,1717
2017-12-01,1934
2018-01-01,2418
2018-02-01,1368
2018-03-01,1467
2018-04-01,1593
2018-05-01,1663
2018-06-01,1765
2018-07-01,1752
2018-08-01,1997
2018-09-01,1912
2018-10-01,1884
2018-11-01,1897
2018-12-01,2091
2019-01-01,2115
2019-02-01,1371
2019-03-01,1382
2019-04-01,1809
2019-05-01,1677
2019-06-01,1737
2019-07-01,1794
2019-08-01,1973
2019-09-01,2121
2019-10-01,1874
2019-11-01,1782
2019-12-01,2240
2020-01-01,2222
2020-02-01,1563
2020-03-01,12689
2020-04-01,9026
2020-05-01,2028
2020-06-01,2245
2020-07-01,1787
2020-08-01,1694
2020-09-01,1644
2020-10-01,1715
2020-11-01,2051
2020-12-01,2166
2021-01-01,2100
2021-02-01,1379
2021-03-01,1216
2021-04-01,1320
2021-05-01,1228
2021-06-01,1300
2021-07-01,1375
2021-08-01,1451
2021-09-01,1474
2021-10-01,1330
2021-11-01,1332
2021-12-01,1598
2022-01-01,1836
2022-02-01,1197
2022-03-01,1116
2022-04-01,1236
2022-05-01,1383
2022-06-01,1474
2022-07-01,1447
2022-08-01,1755
2022-09-01,1491
2022-10-01,1496
2022-11-01,1435
2022-12-01,1698
2023-01-01,2299
2023-02-01,1317
2023-03-01,1514
2023-04-01,1468
2023-05-01,1398
2023-06-01,1553
2023-07-01,1658
2023-08-01,1837
2023-09-01,1655
2023-10-01,1637
2023-11-01,1456
