date,value
2013-03-31,378
2013-06-30,289
2013-09-30,325
2013-12-31,311
2014-03-31,380
2014-06-30,293
2014-09-30,329
2014-12-31,314
2015-03-31,393
2015-06-30,301
2015-09-30,342
2015-12-31,325
2016-03-31,396
2016-06-30,315
2016-09-30,344
2016-12-31,331
2017-03-31,394
2017-06-30,314
2017-09-30,360
2017-12-31,334
2018-03-31,409
2018-06-30,324
2018-09-30,366
2018-12-31,344
2019-03-31,417
2019-06-30,334
2019-09-30,368
2019-12-31,352
2020-03-31,441
2020-06-30,439
2020-09-30,380
2020-12-31,332
2021-03-31,409
2021-06-30,349
2021-09-30,405
2021-12-31,365
2022-03-31,469
2022-06-30,379
2022-09-30,421
2022-12-31,407
2023-03-31,477
