date,value
2013-03-31,1850
2013-06-30,1847
2013-09-30,1838
2013-12-31,1852
2014-03-31,1880
2014-06-30,1872
2014-09-30,1877
2014-12-31,1870
2015-03-31,1946
2015-06-30,1909
2015-09-30,1932
2015-12-31,1934
2016-03-31,1954
2016-06-30,2018
2016-09-30,1967
2016-12-31,1999
2017-03-31,1964
2017-06-30,2024
2017-09-30,2057
2017-12-31,1977
2018-03-31,2017
2018-06-30,2070
2018-09-30,2078
2018-12-31,2014
2019-03-31,2029
2019-06-30,2111
2019-09-30,2070
2019-12-31,2049
2020-03-31,2205
2020-06-30,3214
2020-09-30,1948
2020-12-31,1944
2021-03-31,1940
2021-06-30,2060
2021-09-30,2127
2021-12-31,2027
2022-03-31,2101
2022-06-30,2258
2022-09-30,2175
2022-12-31,2204
2023-03-31,2135
